epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,381.238,0.9394,0.74407,1.03571,0.69744,0.64516,0.70232,0.3925,1.3986,0.96853,1.13979,0.0011486,0.0011486,0.0011486
45,389.795,0.92451,0.72754,1.01794,0.72468,0.6369,0.67683,0.40003,1.50854,1.01797,1.26688,0.0011288,0.0011288,0.0011288
46,398.465,0.96967,0.75842,1.07604,0.50353,0.83871,0.63361,0.36584,1.44533,1.07855,1.1974,0.001109,0.001109,0.001109
47,406.951,0.92738,0.73363,1.04272,0.6322,0.67742,0.69362,0.42229,1.29118,0.99632,1.08994,0.0010892,0.0010892,0.0010892
48,415.408,0.88634,0.68062,1.02702,0.64604,0.64767,0.72262,0.42259,1.34183,0.89535,1.06747,0.0010694,0.0010694,0.0010694
49,424.004,0.91605,0.70347,1.02709,0.74596,0.61573,0.70572,0.43074,1.28681,0.79286,1.04194,0.0010496,0.0010496,0.0010496
50,432.704,0.95724,0.72543,1.02952,0.71153,0.6129,0.65945,0.41634,1.38368,0.92625,1.09592,0.0010298,0.0010298,0.0010298
51,440.934,0.90304,0.70513,1.0117,0.69825,0.62903,0.69451,0.4057,1.39252,0.95137,1.14101,0.00101,0.00101,0.00101
52,449.376,0.89162,0.68625,1.03158,0.84554,0.70639,0.80132,0.46555,1.32765,0.86146,1.11978,0.0009902,0.0009902,0.0009902
53,457.981,0.87953,0.6651,1.01542,0.71219,0.66129,0.69439,0.43254,1.3307,0.86555,1.10863,0.0009704,0.0009704,0.0009704
54,466.173,0.89723,0.67249,1.0275,0.74372,0.59677,0.66605,0.40644,1.36648,0.90957,1.13311,0.0009506,0.0009506,0.0009506
55,474.661,0.89079,0.68927,1.01157,0.81576,0.6129,0.73826,0.43844,1.3259,0.83962,1.0561,0.0009308,0.0009308,0.0009308
56,483.182,0.88243,0.68592,0.99978,0.69115,0.75797,0.76809,0.47146,1.1856,0.82553,0.98379,0.000911,0.000911,0.000911
57,491.626,0.91913,0.67715,1.0096,0.63669,0.80645,0.74641,0.46201,1.19288,0.85826,1.01776,0.0008912,0.0008912,0.0008912
58,500.037,0.85902,0.67146,1.01245,0.65443,0.72581,0.72755,0.46077,1.20526,0.86149,1.00599,0.0008714,0.0008714,0.0008714
59,508.558,0.81956,0.63172,0.98137,0.64752,0.82968,0.76597,0.46223,1.13775,0.84337,0.98479,0.0008516,0.0008516,0.0008516
60,516.803,0.785,0.58059,0.96819,0.73286,0.70968,0.74218,0.45376,1.18264,0.8604,0.98059,0.0008318,0.0008318,0.0008318
61,525.217,0.81798,0.60447,0.98265,0.65145,0.78382,0.76851,0.46727,1.20422,0.85424,0.97533,0.000812,0.000812,0.000812
62,533.766,0.85163,0.64571,1.00358,0.78935,0.66489,0.77084,0.47482,1.23251,0.80105,0.99713,0.0007922,0.0007922,0.0007922
63,542.374,0.80839,0.63289,0.98446,0.67243,0.76156,0.71795,0.45302,1.20977,0.87474,0.98841,0.0007724,0.0007724,0.0007724
64,550.802,0.81182,0.59817,0.97289,0.64987,0.70968,0.703,0.45338,1.20923,0.82439,1.05976,0.0007526,0.0007526,0.0007526
65,559.232,0.82859,0.62718,0.98851,0.69715,0.74194,0.73576,0.47079,1.18332,0.83071,1.06312,0.0007328,0.0007328,0.0007328
66,567.679,0.80306,0.58986,0.97552,0.71365,0.7638,0.73117,0.43791,1.19439,0.83463,1.05274,0.000713,0.000713,0.000713
67,576.094,0.81851,0.60991,0.98154,0.76366,0.72966,0.73462,0.47031,1.18096,0.80538,0.98374,0.0006932,0.0006932,0.0006932
68,584.658,0.83881,0.61651,0.99243,0.69169,0.70968,0.74715,0.49051,1.15802,0.7854,0.99594,0.0006734,0.0006734,0.0006734
69,593.27,0.77957,0.58523,0.97585,0.69669,0.62903,0.64792,0.4234,1.1546,0.81131,1.0142,0.0006536,0.0006536,0.0006536
70,601.679,0.80931,0.61958,0.98062,0.66273,0.66561,0.69674,0.45347,1.09932,0.80519,0.9899,0.0006338,0.0006338,0.0006338
71,610.252,0.82498,0.61909,0.9961,0.67441,0.70166,0.71056,0.4846,1.07305,0.78191,1.00743,0.000614,0.000614,0.000614
